state,county,pop_total_2019,median_age_2019,median_income_2019,households_median_value_2019,households_avg_size_2019,households_total_2019,households_median_gross_rent_2019,mean_travel_time_2019,pop_total_male_rate_2019,pop_total_female_rate_2019,pop_18_39_male_rate_2019,pop_18_39_female_rate_2019,pop_40_64_male_rate_2019,pop_40_64_female_rate_2019,pop_over_65_male_rate_2019,pop_over_65_female_rate_2019,veterans_rate_2019,inmigrants_rate_2019,white_rate_2019,black_rate_2019,native_rate_2019,asian_rate_2019,pacific_rate_2019,other_rate_2019,hispanic_rate_2019,two_more_races_rate_2019,high_school_rate_2019,bachelors_rate_2019,poverty_rate_2019,households_renter_rate_2019,households_owner_rate_2019,unemployment_rate_2019,public_transport_rate_2019,no_health_insurance_rate_2019,county_fips
01,001,55380,38.2,58731,154500,2.56,21397,986,23796,48.63,51.37,14.27,14.22,15.65,17.06,6.49,8.47,9.52,2.35,76.79,19.03,0.25,1.03,0.05,0.68,2.83,2.16,19.21,10.87,15.06,26.71,73.29,3.68,0.29,6.96,01001
01,003,212830,43.0,58320,197900,2.59,80930,1020,87084,48.63,51.37,12.27,12.47,16.02,17.53,9.27,10.71,9.24,3.72,86.21,9.26,0.77,0.93,0.0,1.14,4.56,1.69,15.9,14.94,10.2,24.75,75.25,4.26,0.02,8.78,01003
01,005,25361,40.4,32525,90700,2.41,9345,576,8108,52.92,47.08,17.03,11.51,17.41,14.56,7.99,10.58,5.24,2.72,46.8,47.58,0.32,0.53,0.0,3.57,4.36,1.2,20.1,5.39,27.11,39.1,60.9,9.17,0.11,10.03,01005
01,007,22493,40.9,47542,92800,2.99,6891,734,7910,54.02,45.98,16.54,11.99,18.81,16.13,7.1,8.84,6.37,1.51,76.79,22.29,0.13,0.12,0.0,0.04,2.57,0.63,25.35,4.64,16.63,25.58,74.42,7.28,0.0,9.79,01007
01,009,57681,40.7,49358,127800,2.74,20847,667,21361,49.4,50.6,12.79,12.36,16.79,16.95,7.99,9.91,5.92,4.54,95.46,1.61,0.08,0.37,0.04,0.85,9.26,1.59,18.57,5.95,13.42,21.22,78.78,3.36,0.05,10.68,01009
01,011,10248,40.2,37785,70300,2.79,3521,654,4239,54.36,45.64,17.9,10.95,18.96,15.43,6.86,9.14,2.61,0.7,21.9,74.8,0.0,0.49,0.0,2.05,2.56,0.76,24.85,5.14,27.57,28.88,71.12,3.87,0.0,10.95,01011
01,013,19828,40.8,40688,95900,3.0,6506,620,7724,45.8,54.2,12.49,13.83,14.14,17.4,8.05,11.62,5.1,0.77,51.85,45.4,0.06,0.35,0.0,0.21,1.4,2.14,27.06,6.77,22.18,30.05,69.95,6.8,0.06,8.54,01013
01,015,114618,39.6,47255,118000,2.5,44605,716,46008,48.11,51.89,14.14,14.6,15.5,16.77,7.3,9.92,8.43,2.66,73.67,20.79,0.33,0.88,0.01,1.92,3.8,2.39,18.11,7.25,17.42,29.93,70.07,8.08,0.16,9.37,01015
01,017,33660,42.0,42289,97100,2.46,13448,749,14085,47.8,52.2,13.27,13.48,15.86,17.17,8.23,10.99,6.24,1.84,57.7,39.56,0.33,1.12,0.0,0.27,2.38,1.02,20.63,6.71,16.97,32.54,67.46,3.94,0.11,10.19,01017
01,019,25903,46.5,41919,123400,2.39,10737,620,9703,49.33,50.67,11.78,10.44,17.03,18.07,10.42,12.01,7.27,0.86,92.85,4.6,1.08,0.25,0.0,0.35,1.59,0.87,23.81,4.84,13.74,22.66,77.34,4.43,0.08,8.56,01019
01,021,44055,38.7,47468,107300,2.58,16927,726,16871,48.71,51.29,13.66,13.49,15.83,16.87,7.27,8.74,5.77,4.56,83.61,9.17,0.82,0.44,0.0,3.47,7.85,2.48,25.2,5.54,18.84,25.5,74.5,6.41,0.0,12.9,01021
01,023,12925,46.3,35892,74100,2.4,5300,525,3997,47.54,52.46,11.63,11.13,15.49,19.0,9.86,12.74,6.88,0.63,56.77,42.55,0.06,0.13,0.0,0.09,0.41,0.39,22.73,5.53,22.96,19.09,80.91,7.9,0.0,10.24,01023
